ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12767062,JF324908,01/01/2022 12:00:00 AM,005XX N KINGSBURY ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,false,false,1831,018,42,8,11,1172999,1903926,2022,10/25/2022 04:46:49 PM,41.891804601,-87.640100084,"(41.891804601, -87.640100084)"
12771175,JF329944,01/01/2022 12:00:00 AM,078XX S EMERALD AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,false,true,0621,006,17,71,26,1172660,1852881,2022,10/25/2022 04:46:49 PM,41.751739849,-87.642851585,"(41.751739849, -87.642851585)"
12814497,JF380963,01/01/2022 12:00:00 AM,047XX W WABANSIA AVE,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,RESIDENCE - GARAGE,false,true,2533,025,37,25,17,1144610,1910885,2022,10/25/2022 04:46:49 PM,41.911482929,-87.744185282,"(41.911482929, -87.744185282)"
12822046,JF389504,01/01/2022 12:00:00 AM,039XX N PINE GROVE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,false,false,1925,019,46,6,11,1170694,1926410,2022,10/25/2022 04:46:49 PM,41.953552585,-87.647905229,"(41.953552585, -87.647905229)"
12843026,JF413724,01/01/2022 12:00:00 AM,073XX S LAFAYETTE AVE,1155,DECEPTIVE PRACTICE,AGGRAVATED FINANCIAL IDENTITY THEFT,RESIDENCE,false,false,0731,007,6,69,11,1177101,1856340,2022,10/25/2022 04:46:49 PM,41.761132791,-87.626473315,"(41.761132791, -87.626473315)"
12840187,JF411409,01/01/2022 12:00:00 AM,046XX N SHERIDAN RD,0820,THEFT,$500 AND UNDER,APARTMENT,false,false,1914,019,46,3,06,1168782,1931175,2022,10/25/2022 04:46:49 PM,41.966669657,-87.654795172,"(41.966669657, -87.654795172)"
12836994,JF403613,01/01/2022 12:00:00 AM,042XX W WASHINGTON BLVD,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,false,true,1114,011,28,26,08B,1148076,1900155,2022,10/25/2022 04:46:49 PM,41.881972634,-87.731728591,"(41.881972634, -87.731728591)"
12849613,JF422946,01/01/2022 12:00:00 AM,023XX W DEVON AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,false,false,2413,024,50,2,11,1159359,1942426,2022,10/25/2022 04:46:49 PM,41.997742435,-87.689130952,"(41.997742435, -87.689130952)"
12736123,JF287295,01/01/2022 12:00:00 AM,033XX N HAMLIN AVE,0560,ASSAULT,SIMPLE,RESIDENCE,false,true,1732,017,30,21,08A,1150468,1922003,2022,10/25/2022 04:46:49 PM,41.941879259,-87.722373658,"(41.941879259, -87.722373658)"
12691932,JF233522,01/01/2022 12:00:00 AM,024XX E 106TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0434,004,7,51,07,1194409,1835217,2022,10/25/2022 04:46:49 PM,41.70276162,-87.56373152,"(41.70276162, -87.56373152)"
